key_mlbam,key_bbref,name_last,name_first
435063,napolmi01,Napoli,Mike
115031,graharo01,Graham,Roy
115678,heathsp01,Heath,Spencer
819817,deanne01,Dean,Nelson
150259,phillja03,Phillips,Jason
114016,farrji01,Farr,Jim
113853,engleri01,Engle,Rick
818484,lindswi01,Lindsey,William
643325,girodch01,Girodo,Chad
817575,reynojo01,Reynolds,Joe
118021,lutzjo01,Lutz,Joe
150092,mcdondo01,McDonald,Donzell
518585,cruzfe01,Cruz,Fernando
119447,mossra01,Moss,Ray
642558,juradar01,Jurado,Ariel
117360,kuhnsch01,Kuhns,Charlie
112949,cuppyni01,Cuppy,George
116654,jollesm01,Jolley,Smead
116425,jacksda01,Jackson,Darrell
518626,donaljo02,Donaldson,Josh
119765,nichotr01,Nichols,Tricky
120197,palmelo01,Palmer,Lowell
123044,sweenbi02,Sweeney,Bill
115498,harrejo01,Harrell,John
117018,kerrdo01,Kerr,Doc
820156,carte03,Carter,
150291,venafmi01,Venafro,Mike
407911,francfr01,Francisco,Frank
112291,cihoced01,Cihocki,Ed
112030,carragi01,Carrara,Giovanni
408074,hodgetr01,Hodges,Trey
623180,mejiase01,Mejias-Brean,Seth
817075,stratfe01,Stratton,Felton
622110,duffyma01,Duffy,Matt
117138,klawial01,Klawitter,Al
132961,jenkige01,Jenkins,Geoff
123457,tremich01,Tremie,Chris
110539,bannial01,Bannister,Alan
119034,midkiez01,Midkiff,Ezra
120081,orwolos01,Orwoll,Ossie
115679,heathto01,Heath,Tommy
110059,adamsdi01,Adams,Dick
115701,heideja01,Heidemann,Jack
818785,johns12,Johnson,
657612,hillti01,Hill,Tim
818816,jenki03,Jenkins,Ben
121506,roweke01,Rowe,Ken
124462,winstha01,Winston,Hank
680704,sandlni01,Sandlin,Nick
400154,sardida01,Sardinha,Dane
680755,fishebr02,Fisher,Braydon
118462,mavisbo01,Mavis,Bob
506924,cardust01,Cardullo,Stephen
116292,hughebi02,Hughes,Bill
430321,youngde03,Young,Delmon
663542,hudsobr01,Hudson,Bryan
118068,macdoha01,MacDonald,Harvey
113495,doughpa01,Dougherty,Patsy
113444,donlimi01,Donlin,Mike
114965,gordira01,Gordinier,Ray
112344,clarkte01,Clark,Terry
124580,worreti01,Worrell,Tim
123539,tyrivda01,Tyriver,Dave
475479,phelpda01,Phelps,David
121290,roberge01,Robertson,Gene
111144,boehmle01,Boehmer,Len
277409,sandbja01,Sandberg,Jared
110045,adamsre01,Adams,Red
819095,heath04,Heath,
150326,lundqda01,Lundquist,David
116703,jonesjo02,Jones,John
669742,hallda02,Hall,Darick
448281,doolise01,Doolittle,Sean
111786,busbypa01,Busby,Paul
113793,eldreca01,Eldred,Cal
114570,ganzech01,Ganzel,Charlie
110236,anderga01,Anderson,Garret
113018,dalybe01,Daly,Bert
112308,clancbi01,Clancy,Bill
113531,doylela01,Doyle,Larry
663624,mountry01,Mountcastle,Ryan
114113,figgami01,Figga,Mike
119008,meyerbr01,Meyer,Brian
132960,martigr01,Martinez,Greg
120221,parkch01,Park,Chan Ho
118238,mannfr01,Mann,Fred
115308,hahnfr01,Hahn,Fred
122689,starnge01,Starnagle,George
117531,lathrbi01,Lathrop,Bill
113367,dilliha01,Dillinger,Harley
819962,coxal01,Cox,Alphonso
118776,mckened01,McKenna,Ed
488862,escobyu01,Escobar,Yunel
115935,hillgl01,Hill,Glenallen
820199,canadji01,Canada,Jim
672832,pinedis01,Pineda,Israel
114414,fregoji01,Fregosi,Jim
123825,walkeha01,Walker,Harry
544150,suareal01,Suárez,Albert
150418,daleca01,Dale,Carl
682868,ramosbr01,Ramos,Bryan
114433,fridask01,Friday,Grier
116396,iorgda01,Iorg,Dane
124596,wrighgl01,Wright,Glenn
110148,allenho01,Allen,Horace
112345,clarkwi02,Clark,Will
400128,sanchal03,Sánchez,Alex
118435,matthbo01,Matthews,Charles
117121,kirkpen01,Kirkpatrick,Enos
500779,quintjo01,Quintana,Jose
818962,hoskibi01,Hoskins,Bill
116808,kahlebo01,Kahle,Bob
115873,hetzeer01,Hetzel,Eric
122804,stinsbo01,Stinson,Bob
112263,chrisbr01,Christensen,Bruce
113491,dottedu01,Dotterer,Dutch
117185,knerrlo01,Knerr,Lou
123424,townsir01,Townsend,Ira
408202,garcilu02,García,Luis
676510,hoffmno01,Hoffman,Nolan
110357,asselbr01,Asselstine,Brian
112340,clarkbo01,Clark,Bob
819119,hawkiro01,Hawkins,Robert
120516,phillda02,Phillips,Dee
124364,willivi01,Willis,Vic
571830,josepto01,Joseph,Tommy
661388,contrwi02,Contreras,William
120821,pyznati01,Pyznarski,Tim
132786,roskojo01,Roskos,John
113647,dupeefr01,Dupee,Frank
122867,streled01,Strelecki,Ed
430636,snellia01,Snell,Ian
113557,dressch01,Dressen,Chuck
817897,owenswi01,Owens,Will
595453,wallach01,Wallach,Chad
110557,barclge01,Barclay,George
819696,dudleed01,Dudley,Ed
114810,gilliji01,Gilliam,Jim
123326,thurmga01,Thurman,Gary
112640,coombbo01,Coombs,Bobby
110192,alstoto01,Alston,Tom
543359,jennida01,Jennings,Dan
116185,housepa02,Householder,Paul
116486,jamesbi01,James,Bill
682515,portelo01,Porter,Logan
120196,palmeji01,Palmer,Jim
119948,offerjo01,Offerman,José
113960,ewoldar01,Ewoldt,Art
116740,jonesti02,Jones,Tim
122985,sundrst01,Sundra,Steve
113831,elyha01,Ely,Harry
663527,nevinty01,Nevin,Tyler
817859,parksch01,Parks,Charlie
132788,millake01,Millar,Kevin
642546,hernajo02,Hernández,Jonathan
456379,albural01,Alburquerque,Al
519229,rosinse01,Rosin,Seth
133741,lopezme01,López,Mendy
115838,herred01,Herr,Joseph
120655,pollilo01,Polli,Lou
111891,callapa01,Callaghan,Pat
110815,bellbu01,Bell,Buddy
124521,woltery01,Wolters,Rynie
608475,lugoda01,Lugo,Dawel
819905,cunnima01,Cunningham,Marion
113869,eppsau01,Epps,Aubrey
276371,santajo02,Santana,Johan
335992,spurgja01,Spurgeon,Jay
124241,wieghto01,Wieghaus,Tom
110242,anderjo02,Anderson,John
669912,sneadki01,Snead,Kirby
118669,mcfadle01,McFadden,Leon
120592,pipgred01,Pipgras,Ed
113366,dillhpi01,Dillhoefer,Pickles
694363,shustja01,Shuster,Jared
116668,jonesch02,Jones,Charlie
607609,ladwiaj01,Ladwig,A. J.
817532,ritch02,Ritchie,
122865,streega01,Street,Gabby
110531,bankhsc01,Bankhead,Scott
114061,fenwibo01,Fenwick,Bobby
820615,bakerhe01,Baker,Henry
459371,ramirra03,Ramírez,Ramón
120325,pazikmi01,Pazik,Mike
819371,glennha02,Glenn,Hap
124602,wrighji03,Wright,Jim
818363,mannima01,Manning,Max
116800,jutzesk01,Jutze,Skip
121247,riverbo01,Rivera,Bombo
124221,whitnji01,Whitney,Jim
